,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,YearsAtCompany
0,33.0,Yes,Travel_Frequently,,3.0,Life Sciences,1,Male,3,1,Research Scientist,1.0,3348.0,1,Yes,11,3,10
1,,Yes,Travel_Rarely,Sales,4.0,Medical,4,Male,1,3,Sales Executive,4.0,,1,No,11,3,14
2,40.0,Yes,Travel_Rarely,Research & Development,9.0,Life Sciences,4,Male,3,1,Laboratory Technician,1.0,2018.0,3,No,14,3,5
3,42.0,No,Travel_Rarely,Research & Development,,Medical,2,Female,4,2,Research Scientist,2.0,2372.0,6,Yes,16,3,1
4,43.0,No,Travel_Frequently,Research & Development,27.0,Life Sciences,3,Female,3,3,Manufacturing Director,1.0,10820.0,8,No,11,3,8
5,35.0,No,Travel_Rarely,Human Resources,8.0,Technical Degree,3,Male,3,1,Human Resources,3.0,4323.0,1,No,17,3,5
6,,No,Travel_Frequently,Research & Development,3.0,Life Sciences,1,Male,3,2,Healthcare Representative,4.0,7756.0,0,No,17,3,6
7,30.0,No,Travel_Frequently,Research & Development,2.0,Technical Degree,4,Female,2,1,Research Scientist,1.0,4968.0,0,No,16,3,9
8,37.0,No,Travel_Rarely,Sales,6.0,Medical,3,Male,3,2,Sales Executive,4.0,,4,No,14,3,5
9,26.0,Yes,Travel_Frequently,Human Resources,,Life Sciences,2,Female,3,1,Human Resources,3.0,2741.0,0,Yes,11,3,7
10,38.0,No,,,2.0,Life Sciences,1,Female,4,2,Manufacturing Director,,5980.0,6,Yes,12,3,15
11,,No,Travel_Rarely,Sales,4.0,Marketing,2,Male,3,2,Sales Executive,1.0,5155.0,7,No,13,3,6
12,,No,Travel_Frequently,Research & Development,2.0,Life Sciences,4,Male,3,1,Laboratory Technician,4.0,3068.0,0,No,13,3,7
13,42.0,No,,Human Resources,2.0,Technical Degree,3,Male,3,1,Human Resources,3.0,2696.0,0,Yes,11,3,3
14,33.0,No,Travel_Frequently,,7.0,Medical,4,Male,3,2,Sales Executive,1.0,4373.0,0,No,14,3,4
15,29.0,No,,Research & Development,1.0,Life Sciences,4,Female,2,4,Research Director,4.0,16124.0,3,No,14,3,7
16,36.0,No,Travel_Rarely,Research & Development,14.0,Life Sciences,3,Male,3,2,Healthcare Representative,,,0,Yes,17,3,16
17,42.0,No,Travel_Rarely,Research & Development,17.0,Life Sciences,4,Female,4,2,Research Scientist,1.0,,3,Yes,13,3,3
18,37.0,No,Travel_Rarely,Research & Development,14.0,Life Sciences,4,Female,3,1,Laboratory Technician,1.0,3034.0,1,No,12,3,18
19,33.0,No,Travel_Frequently,Sales,5.0,Life Sciences,2,Male,3,2,Sales Executive,4.0,9998.0,6,No,13,3,5
20,,No,Travel_Rarely,Research & Development,1.0,Life Sciences,4,Female,3,1,Research Scientist,,2115.0,1,No,12,3,17
